Filing_Date,Buyer,Seller,Contract_Type,Base_Contract_Date,Transaction_Conf_Agreement_Date,Supply_Period_Value,Supply_Period_Unit,Supply_Period_Notes,Annual_Contract_Quantity_MMBtu_Numeric,Annual_Contract_Quantity_Notes,Take_or_Pay,LNG_Project,DOE_FE_Docket_Nos,DOE_FE_Order_Nos,Notes
2021-08-09,"Venture Global Calcasieu Pass, LLC","Southwest Energy, L.P.",NAESB Base Contract + TC,,2021-05-12,38,months,,14600000,,N/A,Calcasieu Pass,"13-69-LNG, 14-88-LNG, 15-25-LNG","4346, 3345, 3520, 3662",One of three contracts in this filing. Base contract date not specified.
2019-09-17,"Corpus Christi Liquefaction, LLC (""CCL"")","Wells Fargo Commodities, LLC",Gas Sales Agreement (NAESB + TC),2017-03-27,2018-08-17,5,years,,14600000,Approx.,Standard Yes,Corpus Christi,"12-97-LNG, 12-99-LNG","3638, 3164, 3164-A",Revised Public Summary.
2021-05-04,"Corpus Christi Liquefaction, LLC (""CCL"")","XTO Energy Inc. (f/k/a Cross Timbers Energy Services, Inc.)",Gas Supply Agreement (NAESB + TC),2016-03-01,2021-04-26,3,years,,11000000,Approx.,Standard Yes,Corpus Christi,"12-97-LNG, 12-99-LNG, 19-124-LNG","3164, 3638, 4519",
2020-11-23,"Sabine Pass Liquefaction, LLC (""SPL"")","Wells Fargo Commodities, LLC",Gas Supply Agreement (NAESB + TC),2016-04-14,2020-10-28,3,years,,11000000,Approx.,Standard Yes,Sabine Pass,"10-85-LNG, ..., 19-125-LNG","2833, ..., 4520",
2024-05-21,JERA Energy Americas LLC,ConocoPhillips Company,Firm Gas Supply Agreement (NAESB + TC),2015-02-01,2023-12-04,5,years,TC Trade date; Term starts 2024-04-01,10950000,"30,000 MMBtu/Day",No,Freeport LNG,"10-160-LNG, ..., 16-108-LNG","2913, 3282-C, 3357-B, 3957",JERA f/k/a Chubu US Gas Trading. One of two filed.
2021-10-19,"Venture Global Calcasieu Pass, LLC","EDF Trading North America, LLC",NAESB Base Contract + TC,,2021-09-24,38,months,,10950000,,N/A,Calcasieu Pass,"13-69-LNG, 14-88-LNG, 15-25-LNG","4346, 3345, 3520, 3662",One of four filed this day. Base contract date not specified.
2020-09-30,JERA Energy America LLC,Exelon Generation Company LLC,Revised & Restated TC,,2017-12-14,,,"Ends Aug 31, 2022 (or 36mo from ISD)",10950000,"30,000 MMBtu/day + fuel",No,Freeport LNG,"10-160-LNG, ..., 16-108-LNG","2913-A, ..., 3957",JERA f/k/a Chubu US Gas Trading.
2019-09-17,"Corpus Christi Liquefaction, LLC (""CCL"")","Twin Eagle Resource Management, LLC",Gas Sales Agreement (NAESB + TC),2017-08-21,2017-06-06,3,years,,10950000,Approx.,Standard Yes,Corpus Christi,"12-97-LNG, 12-99-LNG","3638, 3164, 3164-A","Revised Public Summary. Originally CCL & Chief Oil & Gas, assigned to Twin Eagle."
2025-02-24,"Venture Global Plaquemines LNG, LLC","Mercuria Energy America, LLC",NAESB Base Contract + TC,,2025-02-05,3,years,,9125000,,N/A,Plaquemines LNG,16-28-LNG,"3866, 4446",Base contract previously executed.
2020-09-30,JERA Energy America LLC,Repsol Energy North America Corporation,Revised & Restated TC,,2017-12-06,3,years,From comm. date (earlier of ISD or 2019-09-01),9125000,"25,000 MMBtu/day + fuel",No,Freeport LNG,"10-160-LNG, ..., 16-108-LNG","2913-A, ..., 3957",JERA f/k/a Chubu US Gas Trading.
2019-09-17,"Sabine Pass Liquefaction, LLC (""SPL"")","DTE Energy Trading, Inc",Gas Sales Agreement (NAESB + TC),2014-05-15,2017-05-31,3,years,,9125000,Approx.,Standard Yes,Sabine Pass,"10-85-LNG, 10-111-LNG, ..., 15-63-LNG","2833, 2961-A, ..., 3792, ... 3669-B",Revised Public Summary.
2021-05-21,"Sabine Pass Liquefaction, LLC (""SPL"")",Equinor Natural Gas LLC (f/k/a Statoil Natural Gas LLC),Gas Supply Agreement (NAESB + TC),2014-02-25,2021-05-19,3,years,,9000000,Approx.,Standard Yes,Sabine Pass,"10-85-LNG, ..., 19-125-LNG","2833, ..., 4520",
2021-05-04,"Corpus Christi Liquefaction, LLC (""CCL"")","Mercuria Energy America, LLC (f/k/a Mercuria Energy America, Inc.)",Gas Supply Agreement (NAESB + TC),2017-03-24,2021-04-22,3,years,,9000000,Approx.,Standard Yes,Corpus Christi,"12-97-LNG, 12-99-LNG, 19-124-LNG","3164, 3638, 4519",
2024-05-21,JERA Energy Americas LLC,"PennEnergy Resources, LLC",Firm Gas Supply Agreement (NAESB + TC),2014-11-07,2023-12-14,5,years,TC Trade date; Term starts 2024-04-01,7300000,"20K MMBtu/d (Apr-Oct 24), then 40K MMBtu/d (Nov 24-Mar 29). Using 20K for numeric.",No,Freeport LNG,"10-160-LNG, ..., 16-108-LNG","2913, 3282-C, 3357-B, 3957",JERA f/k/a Chubu US Gas Trading. PennEnergy f/k/a R.E. Gas Development. One of two filed.
2019-09-17,"Sabine Pass Liquefaction, LLC (""SPL"")",BP Energy Company,Gas Sales Agreement (NAESB + TC),2014-11-01,2017-09-28,3,years,,7300000,Approx.,Standard Yes,Sabine Pass,"10-85-LNG, 10-111-LNG, ..., 15-63-LNG","2833, 2961-A, ..., 3792, ... 3669-B",Revised Public Summary (for TC2).
2021-11-09,"Sabine Pass Liquefaction, LLC (""SPL"")","SWN Energy Services Company, LLC",NAESB Base Contract + 3 TCs,2013-11-01,,,"Varies; TCs: 2018-11-30, 2019-08-08, 2019-08-27",,,Varies,Standard Yes,Sabine Pass,"10-85-LNG, ..., 19-125-LNG","2833, ..., 4520",Notification of assignment of 3 Indigo Minerals LLC TCs to SWN Energy Services. Original TCs filed 2018-12-17 and 2019-09-09.
2025-01-31,"Osaka Gas Trading & Export LLC (""OGTX"")",ConocoPhillips Company,NAESB Base Contract + Special Provisions + TC,2017-04-01,2024-10-21,,,Redacted; Base SP 2017-04-26,,Redacted,Redacted,Freeport LNG,Not specified,"3282-C, 3357-B","TC effective upon OGTX notice re: Enterprise Texas Pipeline CSD, notice given 2025-01-10."
2025-01-31,"Osaka Gas Trading & Export LLC (""OGTX"")",Enterprise Products Operating LLC,NAESB Base Contract + Special Provisions + TC,2024-05-20,2024-09-26,,,Redacted; Base SP 2024-05-20,,Redacted,Redacted,Freeport LNG,Not specified,"3282-C, 3357-B","TC effective upon OGTX notice re: Enterprise Texas Pipeline CSD, notice given 2025-01-10."
2024-09-23,"LNG Americas, Inc.","Wells Fargo Commodities, LLC (""WFC"")",NAESB Base Contract + A&R TC,2023-07-25,2024-09-12,,,As per orig. TC; A&R TC date,,As per orig. TC,Standard Yes,Freeport LNG,Not listed in letter,"3282-C, 3357-B, 3957, 4961",Amends & Restates TC dated 2023-09-20. Original TC referenced an unexecuted 2024-08-30 TC.
2020-03-03,"Corpus Christi Liquefaction, LLC (""CCL"")",Scona LLC,Gas Supply Agreement,N/A,2020-02-24,,,Not specified,,Not specified,Standard Yes,Corpus Christi,"12-97-LNG, 12-99-LNG","3164, 3164-A, 3638","No summary page found for this, only the letter. Details might be in a later summary."
2022-02-17,"Sabine Pass Liquefaction, LLC (""SPL"")","SWN Energy Services Company, LLC",Gas Supply Agreement,N/A,2020-01-13,,,As per orig. GSA; Orig. GSA w/ GEP,,As per orig. GSA,Standard Yes,Sabine Pass,"10-85-LNG, ..., 19-125-LNG","2833, ..., 4520",Notification of assignment of GEP Haynesville GSA to SWN Energy Services.
2020-01-03,"Corpus Christi Liquefaction, LLC (""CCL"")","Chevron U.S.A. Inc (""Chevron"")","NAESB Base Contract, Confirmation & Assignment",2018-05-21,2020-01-01,,years,As per orig. Apache contract,,As per orig. Apache contract; Assignment from Apache's 2017-11-06 TC,Standard Yes,Corpus Christi,"12-97-LNG, 12-99-LNG","3164, 3164-A, 3638",Assignment of Apache's 2017-11-06 Confirmation to Chevron. Confirmation now governed by CCL's Base Contract with Chevron.
2019-10-22,MC Global Gas Corporation,BP Energy Company,NAESB Base + Special Provisions + TC,2017-12-04,2019-10-10,,,Not specified,,Not specified,Not specified,Freeport LNG,"11-145-LNG, 11-162-LNG, 14-204-LNG, 15-67-LNG","3059-A, 3391-A, 3620, 3797",(Exhibit C page from a larger filing - two summaries for BP)
2019-08-29,MC Global Gas Corporation,"CIMA Energy, LP",NAESB Base Contract + TC + Asset Mgmt Agmt,2019-04-24,2019-08-14,,,Not specified; AMA: 2019-04-24,,Not specified,Not specified,Freeport LNG,"11-145-LNG, 11-162-LNG, 14-204-LNG, 15-67-LNG","3059-A, 3391-A, 3620, 3797",
2019-06-27,MC Global Gas Corporation,"SWN Energy Services Company, LLC",NAESB Base + Special Provisions + TC,2019-06-01,2019-06-01,,,Not specified,,Not specified,Not specified,Freeport LNG,"11-145-LNG, 11-162-LNG, 14-204-LNG, 15-67-LNG","3059-A, 3391-A, 3620, 3797",
2019-06-00,"Corpus Christi Liquefaction Stage III, LLC",Apache Corporation,Gas Supply Agreement,N/A,2019-05-29,,,"Not specified; Contract date May 29, 2019",,Not specified,Standard Yes,CCL Stage III,18-78-LNG,4277,Letter date unclear. Details from later revised summary used.
2019-07-02,MC Global Gas Corporation,BP Energy Company,NAESB Base + Special Provisions + TC,2017-12-04,2019-05-21,,,Not specified,,Not specified,Not specified,Freeport LNG,"11-145-LNG, 11-162-LNG, 14-204-LNG, 15-67-LNG","3059-A, 3391-A, 3620, 3797",(Exhibit C page from a larger filing - two summaries for BP)
2019-05-21,"Sabine Pass Liquefaction, LLC (""SPL"")","Range Resources – Appalachia, LLC",NAESB Base Contract + TC,2013-12-01,2019-05-16,,,Not specified,,Not specified,Not specified,Sabine Pass,"10-85-LNG, ..., 15-63-LNG","2833, ..., 3792, ...3669-B",Summary for Range Resources contract.
2019-05-13,"Venture Global Calcasieu Pass, LLC",Indigo Minerals LLC,NAESB Base Contract + TC,2019-04-18,2019-04-18,,,Not specified,,Not specified,Not specified,Calcasieu Pass,"13-69-LNG, 14-88-LNG, 15-25-LNG","4346, 3345, 3520, 3662",
2019-04-24,"Sabine Pass Liquefaction, LLC (""SPL"")","EAP Ohio, LLC",NAESB Base Contract + TC,2019-03-12,2019-03-28,,,Not specified,,Not specified,Not specified,Sabine Pass,"10-85-LNG, ..., 15-63-LNG","2833, ..., 3792, ...3669-B",Summary for EAP Ohio contract.
2019-04-22,"Corpus Christi Liquefaction, LLC (""CCL"")","Twin Eagle Resource Management, LLC",NAESB Base Contract,2017-08-21,2019-03-22,,,As per orig. TC; Assignment eff. date,,As per orig. TC,Standard Yes,Corpus Christi,"12-97-LNG, 12-99-LNG","3164, 3164-A, 3638","Assignment of Chief Oil & Gas TC (dated 2017-06-06, under Base Contract 2016-06-01) to Twin Eagle. Confirmation now under Twin Eagle NAESB."
2018-12-17,"Sabine Pass Liquefaction, LLC (""SPL"")",Indigo Minerals LLC,NAESB Base Contract + TC,2017-03-01,2018-11-30,,,Not specified,,Not specified,Not specified,Sabine Pass,"10-85-LNG, ..., 15-63-LNG","2833, ..., 3792, ...3669-B",Later assigned to SWN Energy Services.
2018-10-08,"Sabine Pass Liquefaction, LLC (""SPL"")","Wells Fargo Commodities, LLC",NAESB Base Contract + TC,2016-04-14,2018-08-17,,,Not specified,,Not specified,Not specified,Sabine Pass,"10-85-LNG, ..., 15-63-LNG","2833, ..., 3792, ...3669-B",Summary for WFC contract.
2018-10-08,"Corpus Christi Liquefaction, LLC (""CCL"")","Wells Fargo Commodities, LLC",NAESB Base Contract + TC,2017-03-27,2018-08-17,,,Not specified,,Not specified,Not specified,Corpus Christi,"12-97-LNG, 12-99-LNG","3164, 3164-A, 3638",Summary for WFC contract.
2018-08-27,"Osaka Gas Trading & Export, LLC",Gulfport Energy Corporation,First Amendment to Contract,N/A,2018-07-31,,,As per orig.,,As per orig.,As per orig.,Freeport LNG,Not specified,"3282-C, 3357-B",Amends 2015-04-01 contract.
2018-07-30,"Corpus Christi Liquefaction, LLC (""CCL"")","Pioneer Natural Resources USA, Inc.",NAESB Base Contract + TC#1 & TC#2,2015-06-01,2018-05-22,,,Not in letter; TC#1: 2017-11-10,,Not in letter,Standard Yes,Corpus Christi,"12-97-LNG, 12-99-LNG","3638, 3164, 3164-A",Filing for TC#2. TC#1 previously filed 2018-03-23. Details from later revised summaries used.
2018-06-04,"Sabine Pass Liquefaction, LLC (""SPL"")",Eclipse Resources Corporation,NAESB Base Contract (Novation),2017-12-20,2018-03-23,,,As per orig. TC; Novation Agmt date,,As per orig. TC,Standard Yes,Sabine Pass,"10-85-LNG, ..., 15-63-LNG","2833, ..., 3792, ...3669-B","Novation of contract from Eclipse Resources Marketing, LP. Original TC was 2017-05-24. Later Montage, then SWN."
2018-03-23,"Corpus Christi Liquefaction, LLC (""CCL"")","Pioneer Natural Resources USA, Inc.",NAESB Base Contract + TC,2015-06-01,2017-11-10,,,Not in letter,,Not in letter,Standard Yes,Corpus Christi,"12-97-LNG, 12-99-LNG","3638, 3164, 3164-A",From Appendix A of Orrick letter (TC#1). Details from later revised summary used.
2018-03-23,"Corpus Christi Liquefaction, LLC (""CCL"")",Apache Corporation,NAESB Base Contract + 2 TCs,2016-12-07,2017-11-06,,,Not in letter; Two TCs with same date,,Not in letter,Standard Yes,Corpus Christi,"12-97-LNG, 12-99-LNG","3638, 3164, 3164-A",From Appendix A of Orrick letter. Details from later revised summaries used. Apache assigned one TC to Chevron.
2018-03-23,"Corpus Christi Liquefaction, LLC (""CCL"")",Targa Gas Marketing LLC,NAESB Base Contract + TC,2016-05-01,2017-10-23,,,Not in letter,,Not in letter,Standard Yes,Corpus Christi,"12-97-LNG, 12-99-LNG","3638, 3164, 3164-A",From Appendix A of Orrick letter. Details from later revised summary used.
2018-03-23,"Corpus Christi Liquefaction, LLC (""CCL"")","Houston Pipe Line Company LP (""HPL"")",NAESB Base Contract + TC,2015-04-01,2017-10-11,,,Not in letter,,Not in letter,Standard Yes,Corpus Christi,"12-97-LNG, 12-99-LNG","3638, 3164, 3164-A",From Appendix A of Orrick letter. Details from later revised summary used.
2018-03-23,"Sabine Pass Liquefaction, LLC (""SPL"")","Houston Pipe Line Company LP (""HPL"")",NAESB Base Contract + TC,2015-04-01,2017-10-11,,,Not in letter,,Not in letter,Standard Yes,Sabine Pass,"10-85-LNG, 10-111-LNG, ..., 15-63-LNG","2833, 2961-A, ..., 3792, ... 3669-B",From Appendix A of Orrick letter.
2018-03-23,"Sabine Pass Liquefaction, LLC (""SPL"")",Vitol Inc.,NAESB Base Contract + TC,2016-08-15,2017-09-26,,,Not in letter,,Not in letter,Standard Yes,Sabine Pass,"10-85-LNG, 10-111-LNG, ..., 15-63-LNG","2833, 2961-A, ..., 3792, ... 3669-B",From Appendix A of Orrick letter.
2018-03-23,"Corpus Christi Liquefaction, LLC (""CCL"")","Shell Energy North America (US), L.P.",NAESB Base Contract + TC,2017-05-18,2017-07-12,,,Not in letter,,Not in letter,Standard Yes,Corpus Christi,"12-97-LNG, 12-99-LNG","3638, 3164, 3164-A",From Appendix A of Orrick letter. Details from later revised summary used.
2018-03-23,"Sabine Pass Liquefaction, LLC (""SPL"")","DTE Energy Trading, Inc.",NAESB Base Contract + TC,2014-05-15,2017-05-31,,,Not in letter,,Not in letter,Standard Yes,Sabine Pass,"10-85-LNG, 10-111-LNG, ..., 15-63-LNG","2833, 2961-A, ..., 3792, ... 3669-B",From Appendix A of Orrick letter. Details from later revised summary used.
2018-03-23,"Corpus Christi Liquefaction, LLC (""CCL"")","Wells Fargo Commodities, LLC",NAESB Base Contract + TC,2017-03-27,2017-05-30,,,Not in letter,,Not in letter,Standard Yes,Corpus Christi,"12-97-LNG, 12-99-LNG","3638, 3164, 3164-A",From Appendix A of Orrick letter. Details from later revised summary used.
2020-12-03,"Sabine Pass Liquefaction, LLC (""SPL"")","SWN Energy Services Company, LLC",NAESB Base Contract + TC,2013-11-01,2017-05-24,,,As per orig. TC; Assignment eff. 2020-12-01; Orig TC w/ Eclipse,,As per orig. TC,Standard Yes,Sabine Pass,"10-85-LNG, ..., 19-125-LNG","2833, ..., 4520",Assignment of Montage (f/k/a Eclipse) contract to SWN Energy Services. Base contract between SPL & Montage was 2017-12-20.
2018-03-23,"Sabine Pass Liquefaction, LLC (""SPL"")","Eclipse Resources Marketing, LP (assigned from Eclipse Resources I, LP)",NAESB Base Contract + TC,2014-05-01,2017-05-24,,,Not in letter; Assignment 2015-03-03,,Not in letter,Standard Yes,Sabine Pass,"10-85-LNG, 10-111-LNG, ..., 15-63-LNG","2833, 2961-A, ..., 3792, ... 3669-B","From Appendix A of Orrick letter. Later novated to Eclipse Resources Corp, then Montage, then SWN."
2018-03-23,"Sabine Pass Liquefaction, LLC (""SPL"")",BP Energy Company,NAESB Base Contract + 2 TCs,2014-11-01,2017-05-24,,,"Not in letter; TC1: 2017-05-24, TC2: 2017-09-28",,Not in letter,Standard Yes,Sabine Pass,"10-85-LNG, 10-111-LNG, ..., 15-63-LNG","2833, 2961-A, ..., 3792, ... 3669-B",From Appendix A of Orrick letter. Details from later revised summaries used.
2018-03-23,"Corpus Christi Liquefaction, LLC (""CCL"")",Cimarex Energy Co.,NAESB Base Contract + TC,2015-06-01,2017-04-18,,,Not in letter,,Not in letter,Standard Yes,Corpus Christi,"12-97-LNG, 12-99-LNG","3638, 3164, 3164-A",From Appendix A of Orrick letter (one of 8 sellers listed). Details from later revised summary used.
2015-04-07,"Osaka Gas Trading & Export, LLC",Gulfport Energy Corporation,Contract for Sale and Purchase of Natural Gas,N/A,2015-04-01,,,Special Provisions,,Special Provisions,Special Provisions,Freeport LNG,Not specified,"3282-C, 3357-B",Special Provisions document included. Later amended.
2018-03-23,"Sabine Pass Liquefaction, LLC (""SPL"")","SWN Energy Services Company, LLC (f/k/a Southwestern Energy Services Company)",NAESB Base Contract + 3 TCs,2013-11-01,2014-06-17,,,Varies per TC,,Varies per TC,Standard Yes,Sabine Pass,"10-85-LNG, 10-111-LNG, 13-30-LNG, 13-42-LNG, 13-121-LNG, 14-92-LNG, 15-63-LNG","2833, 2961-A, 3306, 3307, 3384, 3595, 3669, 3792, 3306-A, 3307-A, 3384-A & 3669-B","From Appendix A of Orrick letter. TC dates: TC1: 2014-06-17, TC2: 2014-06-17, TC3: 2017-10-09"
2014-07-16,"Sabine Pass Liquefaction, LLC (""SPL"")","SWN Energy Services Company, LLC (f/k/a Southwestern Energy Services Company)",NAESB Base Contract + 3 TCs,2013-11-01,2014-06-17,,,"Varies; TC1, TC2, TC3 all dated 2014-06-17",,Varies,Standard Yes,Sabine Pass,"10-85-LNG, 10-111-LNG","2833, 2961-A",Filing of TCs for SWN. One TC #65404. Later filings provide more details on these.
2014-04-30,"Sabine Pass Liquefaction, LLC (""SPL"")","EQT Energy, LLC",NAESB Base Contract + TC #65185,2013-12-30,2014-04-15,7,years,Amended 2014-01-16. Term begins after 4 conditions met.,,Fixed quantity (not specified),No,Sabine Pass,"10-85-LNG, 10-111-LNG","2833, 2961-A",
2018-03-23,"Sabine Pass Liquefaction, LLC (""SPL"")",Mercuria Energy Gas Trading LLC (assigned from J.P. Morgan Ventures Energy Corp),NAESB Base Contract + TC,2015-04-01,2013-07-19,,,Not in letter; JPM Base: 2012-06-07; TC assigned 2015-09-22,,Not in letter,Standard Yes,Sabine Pass,"10-85-LNG, 10-111-LNG, ..., 15-63-LNG","2833, 2961-A, ..., 3792, ... 3669-B",From Appendix A of Orrick letter.
2020-12-03,"Corpus Christi Liquefaction, LLC (""CCL"")",Apache Corporation,NAESB Base Contract + Amended TC,2016-12-07,,,As per orig.,,,Reduced from orig. by amount assigned to KMTP. Assignment eff. 2020-11-11,Standard Yes,Corpus Christi,"12-97-LNG, 12-99-LNG, 19-124-LNG","3164, 3164-A, 3638, 4519",Partial assignment of 2017-11-06 Confirmation from Apache to KMTP. This is the Apache portion. Amended TC date not specified.
2020-12-03,"Corpus Christi Liquefaction, LLC (""CCL"")","Kinder Morgan Tejas Pipeline, LLC (KMTP)",NAESB Base Contract + New TC,2020-06-01,,,As per orig.,,,Amount assigned from Apache. Assignment eff. 2020-11-11,Standard Yes,Corpus Christi,"12-97-LNG, 12-99-LNG, 19-124-LNG","3164, 3164-A, 3638, 4519",Partial assignment of Apache's 2017-11-06 Confirmation to KMTP. This is the KMTP portion. New TC date not specified.
2020-08-18,"Sabine Pass Liquefaction, LLC (""SPL"")",MU Marketing LLC,NAESB Base Contract + 5 TCs,2014-02-01,,,"Varies; Orig. w/ Antero. TCs: Four 2014-06-17, One 2018-05-29. Assignment eff. 2020-07-21",,,Varies,Standard Yes,Sabine Pass,"10-85-LNG, ..., 19-125-LNG","2833, ..., 4520",Notification of assignment of Antero contracts to MU Marketing LLC.
